²nom,code_client,matricule_fiscale,ville,region,contact,telephone,adresse,type_client
Hôpital Central Tunis,HC-001,1234567890,Tunis,Nord,Dr. Ahmed Ben Ali,+216 71 123 456,123 Avenue de la Liberté - Tunis,Privé
Clinique Sousse,CS-002,0987654321,Sousse,Centre,Dr. Fatima Karray,+216 73 234 567,456 Rue de la Paix - Sousse,Privé
Laboratoire Sfax,LS-003,1122334455,Sfax,Centre,Mr. Mohamed Jebali,+216 74 345 678,789 Boulevard Habib Bourguiba - Sfax,Privé
Polyclinique Bizerte,PB-004,5566778899,Bizerte,Nord,Dr. Leila Mansouri,+216 72 456 789,321 Rue de l'Indépendance - Bizerte,Public
Centre Médical Ariana,CMA-005,9988776655,Ariana,Nord,Mr. Karim Belhadj,+216 71 567 890,654 Avenue Mohamed V - Ariana,Privé
Hôpital Régional Kairouan,HRK-006,4433221100,Kairouan,Centre,Dr. Nadia Trabelsi,+216 77 678 901,987 Rue de la Révolution - Kairouan,Public
Clinique Privée Ben Arous,CPBA-007,7788990011,Ben Arous,Nord,Dr. Sami Gharbi,+216 71 789 012,147 Avenue de la République - Ben Arous,Privé
Centre de Diagnostic Monastir,CDM-008,2211334455,Monastir,Centre,Mr. Youssef Mami,+216 73 890 123,258 Rue Habib Thameur - Monastir,Privé
Hôpital Universitaire Mahdia,HUM-009,6655443322,Mahdia,Centre,Dr. Amira Bouaziz,+216 73 901 234,369 Boulevard de la Corniche - Mahdia,Public
Clinique Internationale Tunis,CIT-010,3344556677,Tunis,Nord,Dr. Riadh Zahra,+216 71 012 345,741 Avenue Habib Bourguiba - Tunis,Privé
Hôpital Militaire Tunis,HMT-011,1111222233,Tunis,Nord,Col. Habib Jebali,+216 71 234 567,852 Rue de la Victoire - Tunis,Public
Clinique Dentaire Sfax,CDS-012,4444555566,Sfax,Centre,Dr. Leila Zahra,+216 74 567 890,963 Avenue de la Liberté - Sfax,Privé
Centre Chirurgical Sousse,CCS-013,7777888899,Sousse,Centre,Dr. Youssef Karray,+216 73 678 901,147 Rue de la Paix - Sousse,Privé
Polyclinique Nabeul,PN-014,2222333344,Nabeul,Nord,Mr. Riadh Mansouri,+216 72 789 012,258 Boulevard de la Corniche - Nabeul,Privé
Hôpital Régional Gabès,HRG-015,5555666677,Gabès,Sud,Dr. Nadia Jebali,+216 75 890 123,369 Rue de la Révolution - Gabès,Public
Clinique Privée Médenine,CPM-016,8888999900,Médenine,Sud,Dr. Sami Zahra,+216 75 901 234,741 Avenue Mohamed V - Médenine,Privé
Centre Médical Tataouine,CMT-017,3333444455,Tataouine,Sud,Mr. Karim Jebali,+216 75 012 345,852 Rue de l'Indépendance - Tataouine,Privé
Hôpital Régional Gafsa,HRGf-018,6666777788,Gafsa,Sud,Dr. Amira Karray,+216 76 123 456,963 Boulevard Habib Bourguiba - Gafsa,Public
Clinique Tozeur,CT-019,9999000011,Tozeur,Sud,Dr. Leila Mansouri,+216 76 234 567,147 Rue de la Paix - Tozeur,Privé
Centre Médical Kébili,CMK-020,1234123412,Kébili,Sud,Mr. Youssef Jebali,+216 75 345 678,258 Avenue de la Liberté - Kébili,Privé
