nom,code_client,matricule_fiscale,ville,region,contact,telephone,adresse,type_client
Hôpital Central Tunis,HC-001,1234567890,Tunis,Nord,Dr. Ahmed Ben Ali,+216 71 123 456,123 Avenue de la Liberté - Tunis,Privé
Clinique Sousse,CS-002,0987654321,Sousse,Centre,Dr. Fatima Karray,+216 73 234 567,456 Rue de la Paix - Sousse,Privé
Laboratoire Sfax,LS-003,1122334455,Sfax,Centre,Mr. Mohamed Jebali,+216 74 345 678,789 Boulevard Habib Bourguiba - Sfax,Privé
Polyclinique Bizerte,PB-004,5566778899,Bizerte,Nord,Dr. Leila Mansouri,+216 72 456 789,321 Rue de l'Indépendance - Bizerte,Public
Centre Médical Ariana,CMA-005,9988776655,Ariana,Nord,Mr. Karim Belhadj,+216 71 567 890,654 Avenue Mohamed V - Ariana,Privé
Hôpital Régional Kairouan,HRK-006,4433221100,Kairouan,Centre,Dr. Nadia Trabelsi,+216 77 678 901,987 Rue de la Révolution - Kairouan,Public
Clinique Privée Ben Arous,CPBA-007,7788990011,Ben Arous,Nord,Dr. Sami Gharbi,+216 71 789 012,147 Avenue de la République - Ben Arous,Privé
Centre de Diagnostic Monastir,CDM-008,2211334455,Monastir,Centre,Mr. Youssef Mami,+216 73 890 123,258 Rue Habib Thameur - Monastir,Privé
Hôpital Universitaire Mahdia,HUM-009,6655443322,Mahdia,Centre,Dr. Amira Bouaziz,+216 73 901 234,369 Boulevard de la Corniche - Mahdia,Public
Clinique Internationale Tunis,CIT-010,3344556677,Tunis,Nord,Dr. Riadh Zahra,+216 71 012 345,741 Avenue Habib Bourguiba - Tunis,Privé
Hôpital Sfax Centre,HSC-011,1111222233,Sfax,Centre,Dr. Salim Khouja,+216 74 567 890,852 Rue de la Révolution - Sfax,Public
Clinique Gabès,CG-012,4444555566,Gabès,Sud,Dr. Hana Meddeb,+216 75 678 901,963 Avenue de la Liberté - Gabès,Privé
Centre Médical Médenine,CMM-013,7777888899,Médenine,Sud,Mr. Nabil Jebali,+216 75 789 012,147 Rue de la Paix - Médenine,Privé
Hôpital Tataouine,HT-014,2222333344,Tataouine,Sud,Dr. Leila Zahra,+216 75 890 123,258 Boulevard Habib Bourguiba - Tataouine,Public
Clinique Tozeur,CT-015,5555666677,Tozeur,Sud,Dr. Karim Mami,+216 76 901 234,369 Avenue Mohamed V - Tozeur,Privé
Laboratoire Gafsa,LG-016,8888999900,Gafsa,Sud,Mr. Ahmed Belhadj,+216 76 012 345,741 Rue de l'Indépendance - Gafsa,Privé
Hôpital Béja,HB-017,1234123412,Béja,Nord,Dr. Nadia Gharbi,+216 78 123 456,852 Avenue de la République - Béja,Public
Clinique Jendouba,CJ-018,5678567856,Jendouba,Nord,Dr. Sami Trabelsi,+216 78 234 567,963 Rue Habib Thameur - Jendouba,Privé
Centre Médical Kef,CMK-019,9012901290,Kef,Nord,Mr. Youssef Bouaziz,+216 78 345 678,147 Boulevard de la Corniche - Kef,Privé
Hôpital Siliana,HS-020,3456345634,Siliana,Nord,Dr. Amira Mansouri,+216 78 456 789,258 Avenue Habib Bourguiba - Siliana,Public
